"Gene_symbol","PC_Direction","ALDCirr_Direction"
"ACKR3","down","up"
"ACSL4","down","up"
"ACSM3","up","down"
"ADGRG2","down","up"
"ADH6","up","down"
"AFF2","down","up"
"AKR1D1","up","down"
"ALDH1L1","up","down"
"ANO5","down","up"
"ANXA6","down","up"
"AQP1","down","up"
"ATP6V0A1","down","up"
"B3GNT3","down","up"
"BDKRB2","down","up"
"C4B","up","down"
"CAP2","down","up"
"CD34","down","up"
"CDH6","down","up"
"CLIP4","down","up"
"COL4A3","down","up"
"COL4A4","down","up"
"COL4A5","down","up"
"CPE","down","up"
"CXCL14","up","down"
"CYP39A1","up","down"
"CYP3A7","down","up"
"DCAF6","up","down"
"DDC","up","down"
"DHFR","up","down"
"DHRS4-AS1","up","down"
"DNAJC12","up","down"
"EFNB1","down","up"
"EGLN3","down","up"
"ENAH","down","up"
"ENPP2","down","up"
"EPB41L4A","down","up"
"ETV4","down","up"
"FAM13A","up","down"
"FOLH1","up","down"
"FOXC1","down","up"
"FXYD2","down","up"
"GABRE","down","up"
"GCAT","up","down"
"GCNT4","down","up"
"GNAZ","down","up"
"GPX3","down","up"
"GSN","down","up"
"HTRA1","down","up"
"INHBE","down","up"
"IQGAP2","up","down"
"KCNN2","up","down"
"KIF12","up","down"
"KLHL29","down","up"
"KNDC1","down","up"
"KRT23","down","up"
"KRT7","down","up"
"LGALS3","down","up"
"LRRTM3","up","down"
"MAP1B","down","up"
"MPLKIP","up","down"
"MTHFD1","up","down"
"MTMR11","down","up"
"MUC13","down","up"
"MYOF","down","up"
"NAAA","up","down"
"NBPF14","up","down"
"NTHL1","up","down"
"PAK3","down","up"
"PCDHB3","down","up"
"PDGFRA","down","up"
"PFKP","down","up"
"PNMA1","down","up"
"POF1B","down","up"
"POLD2","up","down"
"PRRX1","down","up"
"PTPRM","down","up"
"RBP7","down","up"
"RBPMS2","down","up"
"RIMS2","up","down"
"ROBO1","down","up"
"RPS9","up","down"
"SELENOM","down","up"
"SEMA7A","down","up"
"SHCBP1","up","down"
"SLC22A15","down","up"
"SLC38A1","down","up"
"SLCO1B3","up","down"
"SPAG4","down","up"
"SSTR1","up","down"
"STK32B","down","up"
"TGFB3","down","up"
"TMBIM1","down","up"
"TPM1","down","up"
"TRIM9","down","up"
"TRNP1","down","up"
"TRPC4","down","up"
"TSHZ2","down","up"
"TTC36","up","down"
"TUBA4A","down","up"
"WFDC2","down","up"
"WIPF3","down","up"
"ZNF385B","up","down"
"ZNF511","up","down"
