"Gene_symbol","PC_Direction","NAFLD_Direction"
"ABCA1","up","down"
"ABCA2","up","down"
"ABCC6P2","down","up"
"ABCG1","up","down"
"ABHD17B","up","down"
"ACAD10","up","down"
"ACADSB","up","down"
"ACAT2","down","up"
"ACKR3","down","up"
"ACOT1","down","up"
"ACSBG1","down","up"
"ACSL4","down","up"
"ACSM1","up","down"
"ADAM9","up","down"
"ADAMTS4","down","up"
"ADAMTS9","up","down"
"ADARB1","down","up"
"ADCY2","down","up"
"ADGRA3","up","down"
"ADGRF5","up","down"
"ADGRG2","down","up"
"ADIRF","down","up"
"ADRB1","up","down"
"AFF1","up","down"
"AGAP1","up","down"
"AGFG2","up","down"
"AGPAT3","up","down"
"AGPAT5","up","down"
"AHCY","up","down"
"AJUBA","down","up"
"AKAP7","down","up"
"ALDH1A2","down","up"
"ALDH1L1","up","down"
"ALDH3A1","down","up"
"ALDH6A1","up","down"
"ALDOC","down","up"
"ANAPC1","up","down"
"ANK3","up","down"
"ANKDD1A","down","up"
"ANKRD20A1","down","up"
"ANXA2","down","up"
"AP1S2","up","down"
"AP3B2","down","up"
"AP4S1","down","up"
"APBA1","up","down"
"APOF","up","down"
"APOL1","down","up"
"ARHGAP18","up","down"
"ARHGAP8","up","down"
"ARHGDIB","up","down"
"ARHGEF26","up","down"
"ARL11","up","down"
"ARL4A","down","up"
"ARPC1B","up","down"
"AS3MT","down","up"
"ASAP2","up","down"
"ASB3","down","up"
"ATAD3C","down","up"
"ATCAY","down","up"
"ATF3","down","up"
"ATF7","up","down"
"ATG5","down","up"
"ATG9B","up","down"
"ATP11A","up","down"
"ATP13A2","up","down"
"ATP13A3","up","down"
"ATP7B","up","down"
"ATP8A1","up","down"
"ATP8B1","down","up"
"ATRIP","up","down"
"AVPR1A","down","up"
"B3GAT1","up","down"
"BAALC","up","down"
"BAAT","up","down"
"BAIAP3","up","down"
"BCAR3","down","up"
"BCDIN3D-AS1","down","up"
"BCKDHA","up","down"
"BCL7C","down","up"
"BCO2","down","up"
"BCORP1","down","up"
"BCS1L","up","down"
"BDH2","down","up"
"BHLHA15","up","down"
"BIN3","down","up"
"BST2","down","up"
"BTG1","down","up"
"C10orf82","down","up"
"C11orf21","down","up"
"C11orf96","up","down"
"C16orf89","down","up"
"C3AR1","up","down"
"C3orf14","down","up"
"C5orf49","up","down"
"CABP4","up","down"
"CALCA","down","up"
"CAMK1D","down","up"
"CAPG","down","up"
"CARNMT1","up","down"
"CASP2","up","down"
"CBFB","up","down"
"CCDC107","down","up"
"CCDC115","down","up"
"CCDC146","down","up"
"CCDC148","down","up"
"CCDC6","up","down"
"CCDC80","down","up"
"CCDC88A","down","up"
"CCM2","down","up"
"CD2AP","up","down"
"CD59","down","up"
"CDC37L1","down","up"
"CDC42EP3","down","up"
"CDH3","down","up"
"CDIP1","down","up"
"CDK19","up","down"
"CDR2L","up","down"
"CEBPB-AS1","down","up"
"CEBPD","up","down"
"CECR2","up","down"
"CELF1","up","down"
"CENPO","up","down"
"CEP126","down","up"
"CERS5","down","up"
"CES1","down","up"
"CES1P1","down","up"
"CETN2","down","up"
"CFP","up","down"
"CHDH","up","down"
"CHMP1B2P","down","up"
"CHMP4B","down","up"
"CHRD","up","down"
"CHRNB1","down","up"
"CHST6","down","up"
