"Gene_symbol","PC_Direction","NASH_Direction"
"A1BG-AS1","down","up"
"ABCA1","up","down"
"ABCA2","up","down"
"ABCC3","up","down"
"ABCC6P2","down","up"
"ABCG1","up","down"
"ABHD17B","up","down"
"ACAD10","up","down"
"ACADSB","up","down"
"ACKR3","down","up"
"ACOT1","down","up"
"ACOT11","down","up"
"ACSBG1","down","up"
"ACSL4","down","up"
"ACSL5","up","down"
"ACSM1","up","down"
"ACSM3","up","down"
"ACTR8","up","down"
"ACVR2B","up","down"
"ADAM9","up","down"
"ADAMTS15","down","up"
"ADAMTS4","down","up"
"ADAMTS9-AS2","down","up"
"ADCY2","down","up"
"ADGRA3","up","down"
"ADGRF5","up","down"
"ADGRG2","down","up"
"ADGRG3","down","up"
"ADH6","up","down"
"ADIRF","down","up"
"AFF1","up","down"
"AGAP1","up","down"
"AGFG2","up","down"
"AGPAT3","up","down"
"AGPAT5","up","down"
"AGTR1","up","down"
"AHCY","up","down"
"AIFM2","down","up"
"AJUBA","down","up"
"AK1","down","up"
"AKR1D1","up","down"
"ALDH1A2","down","up"
"ALDH1L1","up","down"
"ALDH3A1","down","up"
"ALDH6A1","up","down"
"ALG1L9P","down","up"
"ALOX12P2","down","up"
"ALPL","up","down"
"ALS2CL","down","up"
"ANAPC1","up","down"
"ANGEL1","up","down"
"ANGPT4","down","up"
"ANGPTL7","down","up"
"ANKDD1A","down","up"
"ANKRD20A1","down","up"
"ANXA1","down","up"
"ANXA2","down","up"
"ANXA8","down","up"
"AP1AR","up","down"
"AP1S2","up","down"
"AP3B2","down","up"
"AP4S1","down","up"
"APBA1","up","down"
"APOBEC3G","down","up"
"APOD","up","down"
"APOF","up","down"
"APOL1","down","up"
"AQP1","down","up"
"ARHGAP18","up","down"
"ARHGEF26","up","down"
"ARL10","down","up"
"ARL15","up","down"
"ARL4A","down","up"
"ARMC10","up","down"
"ARPC1A","up","down"
"ARSJ","down","up"
"AS3MT","down","up"
"ASAP2","up","down"
"ASB13","up","down"
"ASB3","down","up"
"ASB9","up","down"
"ATAD3C","down","up"
"ATCAY","down","up"
"ATF3","down","up"
"ATF7","up","down"
"ATG5","down","up"
"ATG9B","up","down"
"ATP11A","up","down"
"ATP13A1","up","down"
"ATP13A2","up","down"
"ATP13A3","up","down"
"ATP6V0E2","up","down"
"ATP7B","up","down"
"ATP8A1","up","down"
"ATP8B1","down","up"
"B3GALT2","down","up"
"B3GAT1","up","down"
"B4GALNT1","down","up"
"B4GALT6","down","up"
"BAALC","up","down"
"BAAT","up","down"
"BAIAP3","up","down"
"BBOX1","up","down"
"BBX","down","up"
"BCAM","up","down"
"BCDIN3D-AS1","down","up"
"BCKDHA","up","down"
"BCL11A","down","up"
"BCL6","up","down"
"BCL7C","down","up"
"BCL9","up","down"
"BCOR","up","down"
"BCORP1","down","up"
"BCS1L","up","down"
"BDH1","up","down"
"BDH2","down","up"
"BDKRB2","down","up"
"BEND6","down","up"
"BHLHA15","up","down"
"BIN3","down","up"
"BLNK","up","down"
"BNIPL","down","up"
"BRI3","up","down"
"BST2","down","up"
"BTG1","down","up"
"BTN2A3P","down","up"
"C10orf82","down","up"
"C11orf21","down","up"
"C11orf71","up","down"
"C11orf96","up","down"
"C12orf75","down","up"
"C15orf61","up","down"
"C16orf70","up","down"
"C16orf89","down","up"
"C1orf220","down","up"
"C3AR1","up","down"
"C4A","up","down"
"C5orf49","up","down"
"CACNA2D3","down","up"
"CALCA","down","up"
"CAMK1D","down","up"
"CANT1","up","down"
"CAP2","down","up"
"CAPG","down","up"
"CARNMT1","up","down"
"CASP2","up","down"
"CBFB","up","down"
"CBS","up","down"
"CBX4","up","down"
"CCDC107","down","up"
"CCDC115","down","up"
"CCDC146","down","up"
"CCDC148","down","up"
"CCDC181","down","up"
"CCDC6","up","down"
"CCDC8","down","up"
"CCDC80","down","up"
"CCDC88A","down","up"
"CCM2","down","up"
"CCSER1","up","down"
"CD109","down","up"
"CD2AP","up","down"
"CD302","up","down"
"CD59","down","up"
"CDC37L1","down","up"
"CDC42EP3","down","up"
"CDH3","down","up"
"CDH6","down","up"
"CDK19","up","down"
"CDKL1","down","up"
"CDKL5","down","up"
"CEBPB-AS1","down","up"
"CEBPD","up","down"
"CECR2","up","down"
"CELF1","up","down"
"CENPO","up","down"
"CEP126","down","up"
"CERCAM","down","up"
"CERK","down","up"
"CERS5","down","up"
"CES1","down","up"
"CETN2","down","up"
"CFP","up","down"
"CFTR","down","up"
"CGN","up","down"
"CHD9","down","up"
"CHDH","up","down"
"CHMP2B","down","up"
"CHN2","up","down"
"CHRD","up","down"
"CHRNA7","down","up"
"CHRNB1","down","up"
"CHST6","down","up"
"CHST9","down","up"
"CIDEC","down","up"
"CLCN3","up","down"
"CLDN11","down","up"
"CLEC14A","down","up"
"CLIC6","down","up"
"CLMP","down","up"
"CLPX","up","down"
"CLUHP3","down","up"
"CNNM3","up","down"
"CNOT1","up","down"
"CNOT6","up","down"
"CNPY4","down","up"
"CNST","up","down"
"CNTN2","down","up"
"CNTNAP1","down","up"
"COBL","up","down"
"COBLL1","up","down"
"COL14A1","down","up"
"COL16A1","down","up"
"COL4A3","down","up"
"COL4A6","down","up"
"COL5A1","down","up"
"COL5A3","down","up"
"COLGALT1","up","down"
"COPA","up","down"
"COPZ2","down","up"
"COQ8A","up","down"
"CORO1B","up","down"
"COTL1","up","down"
"COX7A1","down","up"
"CPD","up","down"
"CPEB1","down","up"
"CPLX1","up","down"
"CPM","down","up"
"CPNE2","up","down"
"CPNE3","up","down"
"CPSF7","up","down"
"CPXM1","down","up"
"CREB3L4","up","down"
"CRIP3","down","up"
"CRYAB","down","up"
"CRYL1","up","down"
"CSF3R","up","down"
"CSMD3","down","up"
"CSNK2A1","up","down"
"CSPG4","down","up"
"CTBP1","up","down"
"CTSLP2","down","up"
"CTSO","up","down"
"CUBN","down","up"
"CUL4B","up","down"
"CUL7","up","down"
"CXCL2","up","down"
"CXCR2","up","down"
"CYB5R2","down","up"
"CYC1","up","down"
"CYFIP2","up","down"
"CYP27C1","down","up"
"CYP4F22","down","up"
"CYS1","down","up"
"CYTH3","up","down"
"DACT3","down","up"
"DAG1","up","down"
"DANCR","up","down"
"DAPK1","up","down"
"DARS2","up","down"
"DBI","down","up"
"DCAF6","up","down"
"DCTD","up","down"
"DCXR","up","down"
"DDB2","down","up"
"DDX39B","down","up"
"DEAF1","up","down"
"DEFB1","down","up"
"DEGS1","up","down"
"DENND1A","up","down"
"DENND4C","up","down"
"DFFB","up","down"
"DHRS9","down","up"
"DIAPH1","up","down"
"DIAPH2","up","down"
"DICER1","up","down"
"DICER1-AS1","up","down"
"DKK3","down","up"
"DMC1","down","up"
"DMKN","down","up"
"DMRTA1","up","down"
"DNAJA3","up","down"
"DNAJB4","down","up"
"DNAJB5","down","up"
"DNAJC11","up","down"
"DNAJC12","up","down"
"DNAJC5","up","down"
"DNM1P46","down","up"
"DNMBP","up","down"
"DOCK4","up","down"
"DOK7","down","up"
"DPT","down","up"
"DPYSL2","down","up"
"DPYSL3","down","up"
"DSC2","up","down"
"DSTNP2","down","up"
"DTX2","down","up"
"DUOX2","down","up"
"DUS1L","up","down"
"DUSP1","down","up"
"DUSP7","up","down"
"DVL1","up","down"
"DXO","up","down"
"EBF1","down","up"
"EBLN2","down","up"
"EDEM1","up","down"
"EDIL3","down","up"
"EEF2","up","down"
"EFCAB3","down","up"
"EFEMP1","down","up"
"EFNA5","down","up"
"EFNB2","up","down"
"EHD4","down","up"
"EIF2A","up","down"
"EIF2S3","up","down"
"EIF3C","up","down"
"EIF4A3","up","down"
"EIF4B","up","down"
"ELK1","up","down"
"EMBP1","up","down"
"EMID1","down","up"
"EML2","down","up"
"EML4","up","down"
"EMP1","down","up"
"EMP3","down","up"
"EMX2OS","down","up"
"ENPP1","up","down"
"ENPP2","down","up"
"ENPP3","up","down"
"ENTPD1","down","up"
"ENTPD3","down","up"
"EPB41","up","down"
"EPB41L5","up","down"
"EPDR1","down","up"
"EPHB6","down","up"
"EPSTI1","down","up"
"ERG","up","down"
"ERN2","down","up"
"ESRP2","up","down"
"ETV4","down","up"
"EYA3","up","down"
"F12","up","down"
"F5","up","down"
"FAIM2","down","up"
"FAM120A","up","down"
"FAM153A","down","up"
"FAM153B","down","up"
"FAM160A1","up","down"
"FAM171A1","up","down"
"FAM174B","up","down"
"FAM222B","up","down"
"FAM228B","down","up"
"FAM229B","down","up"
"FAM86B3P","down","up"
"FAM95B1","down","up"
"FARP1","up","down"
"FAXC","down","up"
"FBLIM1","down","up"
"FBXO17","down","up"
"FBXO2","down","up"
"FBXO46","up","down"
"FCF1","down","up"
"FCGR3A","up","down"
"FDFT1","down","up"
"FECH","up","down"
"FER1L5","down","up"
"FGF2","down","up"
"FGF7","down","up"
"FGFRL1","up","down"
"FHL2","down","up"
"FKBP1A","up","down"
"FKBP9P1","down","up"
"FLRT2","down","up"
"FLRT3","down","up"
"FLT1","up","down"
"FMNL2","up","down"
"FMO5","up","down"
"FNIP2","up","down"
"FOLH1","up","down"
"FOLR1","down","up"
"FOXD2","down","up"
"FOXN2","up","down"
"FOXRED2","up","down"
"FPR1","up","down"
"FPR2","up","down"
"FREM2","down","up"
"FRK","up","down"
"FRRS1L","down","up"
"FST","down","up"
"FUT2","down","up"
"FXYD2","down","up"
"FZD3","down","up"
"FZD4","up","down"
"G3BP2","up","down"
"GAA","up","down"
"GABRE","down","up"
"GAS6","down","up"
"GBP1P1","down","up"
"GCAT","up","down"
"GCH1","up","down"
"GCNT1","up","down"
"GCNT4","down","up"
"GEMIN4","up","down"
"GGT6","down","up"
"GIGYF2","up","down"
"GIPR","down","up"
"GJB1","up","down"
"GJC1","down","up"
"GLDN","down","up"
"GLYCTK","up","down"
"GNAI1","up","down"
"GNAL","down","up"
"GNE","up","down"
"GNG4","down","up"
"GOLGA2P5","up","down"
"GOLGA8R","down","up"
"GOLGB1","up","down"
"GOLPH3L","up","down"
"GPR137B","up","down"
"GPR37L1","down","up"
"GPR85","down","up"
"GPR88","up","down"
"GPR89B","up","down"
"GPSM2","down","up"
"GPX2","down","up"
"GRAMD1A","up","down"
"GRAMD4","up","down"
"GRHL1","down","up"
"GRIA3","down","up"
"GRID1","down","up"
"GRK2","up","down"
"GRM7","up","down"
"GSK3B","up","down"
"GSN","down","up"
"GSTO2","down","up"
"GTF2I","up","down"
"GTPBP6","up","down"
"GXYLT1","up","down"
"HABP2","up","down"
"HACD1","down","up"
"HACD2","up","down"
"HADH","up","down"
"HAND2-AS1","down","up"
"HBA2","down","up"
"HBB","down","up"
"HDAC1","up","down"
"HDAC9","up","down"
"HDC","down","up"
"HDLBP","up","down"
"HEATR1","up","down"
"HEATR5B","up","down"
"HECTD4","up","down"
"HERC3","up","down"
"HEY2","up","down"
"HFE","down","up"
"HHAT","down","up"
"HHIPL1","up","down"
"HID1","up","down"
"HIF3A","down","up"
"HIGD1A","down","up"
"HIP1","up","down"
"HIPK2","up","down"
"HK2","up","down"
"HK3","up","down"
"HLCS","up","down"
"HMGN4","down","up"
"HMGN5","down","up"
"HMOX1","up","down"
"HNRNPU","up","down"
"HOOK2","up","down"
"HPCAL1","up","down"
"HPN","up","down"
"HPS1","down","up"
"HSD17B11","up","down"
"HSD17B7","down","up"
"HSPA4L","down","up"
"HTR2B","up","down"
