
"Gene_symbol","PC","Hepatitis","Cirrhosis","PC_FDR","Hep_FDR","Cirr_FDR","combined_score"
"SLC22A15","down","up","up",0.0206193248477293,1.64715516305696e-32,4.67357989839206e-19,51.7993413756188
"KCNN2","up","down","down",1.00103309959267e-08,9.02171433372672e-39,0.00111561488309788,48.9967481913692
"KRT23","down","up","up",7.09736180324971e-07,2.61478061163559e-37,7.17091015300706e-07,48.8758935179633
"MUC13","down","up","up",2.07153973035385e-08,9.6094940166993e-32,7.11372330865575e-07,44.848909243081
"ALDH1L1","up","down","down",1.32414471347376e-07,2.04570520239192e-23,1.23715835812771e-08,37.4747962058692
"LGALS3","down","up","up",6.83378447935678e-18,9.12833224668769e-16,7.05214862137383e-05,36.3566258267315
"ADH6","up","down","down",1.23096087433964e-05,5.13120800790013e-26,0.000159905290273652,33.9956732982979
"ACKR3","down","up","up",6.6947711117045e-05,8.96940244442505e-26,0.000124560495423224,33.126120428996
"TGFB3","down","up","up",1.62981965274289e-22,3.42835362187151e-10,0.0394399323468345,32.6568386769575
"FOLH1","up","down","down",4.14806615581959e-05,6.48916206234613e-26,0.010459350781495,31.5504609769072
"NTHL1","up","down","down",6.73346477743225e-06,6.94131629112036e-24,0.00309955294233865,30.8390205144321
"AKR1D1","up","down","down",0.00117095018646251,2.83546714102792e-24,6.1469612885625e-05,30.6901764830124
"DDC","up","down","down",1.50356647082175e-10,6.82672484735345e-19,0.00716790259484721,30.1332728736104
"CXCL14","up","down","down",3.39012036268052e-12,1.79380626297871e-15,0.000843265358490999,29.2900450865643
"GNAZ","down","up","up",2.20910200129154e-13,7.79305212068206e-13,0.00381488993977687,27.1825946370488
"MYOF","down","up","up",5.24108721230962e-14,1.06291676262747e-12,0.0133105341536271,27.1298838732956
"ACSM3","up","down","down",2.28303387260248e-09,2.21477065212529e-17,0.0274936350354928,26.8569267216052
"KLHL29","down","up","up",1.25976133433962e-10,5.62602766003735e-15,0.0113564243332652,26.0942682509089
"TPM1","down","up","up",9.80720449074531e-13,4.28610488826303e-12,0.00347727197018533,25.8351533145653
"WIPF3","down","up","up",3.03776114499607e-05,2.40496185130334e-17,4.73938146823102e-05,25.4606165192926
"TTC36","up","down","down",0.000484497014641099,3.06493582949399e-20,0.0273110241989589,24.39194952144
"ZNF385B","up","down","down",0.000127787471300979,8.5871775432876e-18,0.000593593611687439,24.1861720631551
"PNMA1","down","up","up",7.89200042631134e-19,5.13983722523163e-05,0.0282709122386364,23.9405237121057
"SLCO1B3","up","down","down",0.00065342824989476,2.4314338367103e-13,3.75660231619363e-08,23.2241444153054
"CDH6","down","up","up",1.6712198415189e-05,2.8831677489679e-16,0.00727732249097523,22.4551248846307
"BDKRB2","down","up","up",3.52715835060171e-06,5.58062680159802e-16,0.0441043324402038,22.0614108088604
"B3GNT3","down","up","up",7.21762092551458e-05,4.70025973860412e-12,1.45349226682043e-06,21.3070713477203
"POLD2","up","down","down",2.60804173030288e-08,1.8542922724935e-12,0.0196742920154684,21.0216081623354
"GABRE","down","up","up",3.27989939655267e-08,3.00854184471286e-12,0.0115226084597706,20.9442326160312
"PFKP","down","up","up",0.00309054864501731,1.48839840542647e-17,0.0396502670407254,20.7389991035842
"TRPC4","down","up","up",4.22666577260026e-10,1.31127391400082e-09,0.00564882294994625,20.5043507085042
"SSTR1","up","down","down",2.32836027655583e-07,6.05624014283441e-13,0.025740993482166,20.4401214265228
"GPX3","down","up","up",8.39003658204473e-16,0.014234269765317,0.00190548293962698,19.6428958885727
"EFNB1","down","up","up",3.28647746191177e-15,0.000565029049223912,0.012285759075989,19.6417965708433
"MAP1B","down","up","up",8.07782635177059e-07,1.33936039427346e-12,0.0449662854346643,19.3129210216775
"GCNT4","down","up","up",1.73835950058665e-07,3.42563209926965e-10,0.00105269116535038,19.2028187069342
"POF1B","down","up","up",4.23188090016065e-08,9.06753155630657e-08,8.53870019719178e-05,18.4845857224103
"MTHFD1","up","down","down",3.86704241148511e-05,2.21500070484791e-13,0.0421568398682098,18.4423791479087
"CAP2","down","up","up",6.55472952998985e-07,1.33159149405445e-11,0.041959960493608,18.4362391411159
"CYP39A1","up","down","down",3.15749372347269e-07,5.0143155648495e-11,0.0446576871769392,18.1505496150341
"ZNF511","up","down","down",2.1002275225718e-11,1.66678902688599e-06,0.0248952327782432,18.0597368304909
"PTPRM","down","up","up",0.000109931756356602,3.48886606184e-13,0.0343076756285355,17.880801240947
"CLIP4","down","up","up",2.63200279686876e-09,3.7921647952594e-08,0.0192330098365137,17.7167791977264
"DNAJC12","up","down","down",0.000160087441995583,5.62004432353752e-13,0.0271059076780905,17.6128390392983
"TRNP1","down","up","up",0.00097103270761252,1.29181622935403e-13,0.0285813499903458,17.445482666906
