"Gene_symbol","PC_Direction","ALDhep_Direction"
"A1BG-AS1","down","up"
"A4GALT","down","up"
"AADAT","up","down"
"ABCA1","up","down"
"ABCC3","up","down"
"ABCD2","down","up"
"ABHD10","up","down"
"ABR","down","up"
"ABRACL","up","down"
"ACACA","up","down"
"ACAD10","up","down"
"ACADM","up","down"
"ACADSB","up","down"
"ACAT1","up","down"
"ACKR3","down","up"
"ACOT11","down","up"
"ACOT8","up","down"
"ACP1","up","down"
"ACP6","up","down"
"ACSL1","up","down"
"ACSL3","up","down"
"ACSL4","down","up"
"ACSL5","up","down"
"ACSM1","up","down"
"ACSM3","up","down"
"ACTA2","down","up"
"ACTR3C","up","down"
"ACVR2B","up","down"
"ACVRL1","down","up"
"ACY1","up","down"
"ADAM19","down","up"
"ADAM33","down","up"
"ADAMTS1","down","up"
"ADAMTS10","down","up"
"ADAMTS12","down","up"
"ADAMTS4","down","up"
"ADAMTS5","down","up"
"ADAMTS9-AS1","down","up"
"ADAMTS9-AS2","down","up"
"ADAMTSL1","down","up"
"ADARB1","down","up"
"ADCY3","down","up"
"ADCY4","down","up"
"ADCYAP1","down","up"
"ADD3","down","up"
"ADGRA2","down","up"
"ADGRA3","up","down"
"ADGRB1","down","up"
"ADGRB2","down","up"
"ADGRB3","down","up"
"ADGRD1","down","up"
"ADGRG2","down","up"
"ADGRG3","down","up"
"ADGRL1","down","up"
"ADGRL3","down","up"
"ADGRV1","up","down"
"ADH6","up","down"
"ADIPOR1","up","down"
"ADORA2B","down","up"
"ADPGK-AS1","down","up"
"ADPRHL1","up","down"
"ADRB1","up","down"
"ADRB2","up","down"
"AFF3","down","up"
"AFG3L2","up","down"
"AFMID","up","down"
"AGFG2","up","down"
"AGMAT","up","down"
"AGPAT3","up","down"
"AGPAT4","down","up"
"AGPAT5","up","down"
"AGTR1","up","down"
"AHCY","up","down"
"AHNAK2","down","up"
"AIFM1","up","down"
"AIMP2","up","down"
"AJAP1","down","up"
"AK2","up","down"
"AKAP12","down","up"
"AKR1A1","up","down"
"AKR1B1","down","up"
"AKR1D1","up","down"
"AKT1S1","up","down"
"AKT3","down","up"
"ALB","up","down"
"ALDH1A1","up","down"
"ALDH1L1","up","down"
"ALDH1L2","down","up"
"ALDH6A1","up","down"
"ALG10B","up","down"
"ALG3","up","down"
"ALG8","up","down"
"ALKBH2","up","down"
"ALKBH7","up","down"
"ALOX12P2","down","up"
"ALOX15B","down","up"
"ALPL","up","down"
"AMACR","up","down"
"AMOTL2","down","up"
"AMZ1","down","up"
"AMZ2P1","down","up"
"ANGPT1","down","up"
"ANGPTL2","down","up"
"ANGPTL3","up","down"
"ANK2","down","up"
"ANKDD1A","down","up"
"ANKDD1B","down","up"
"ANKEF1","up","down"
"ANKRD28","up","down"
"ANKRD33B","down","up"
"ANKRD37","down","up"
"ANO4","down","up"
"ANOS1","down","up"
"ANTXR1","down","up"
"ANXA1","down","up"
"ANXA2","down","up"
"ANXA4","down","up"
"ANXA8","down","up"
"AP3S2","up","down"
"APBA1","up","down"
"APCDD1","down","up"
"APEH","up","down"
"APMAP","up","down"
"APOBEC3C","down","up"
"APOBEC3D","down","up"
"APOBEC3G","down","up"
"APOC1","up","down"
"APOE","up","down"
"APOF","up","down"
"APOLD1","down","up"
"APRT","up","down"
"AQP1","down","up"
"AQP9","up","down"
"ARAP3","down","up"
"ARHGAP23","down","up"
"ARHGAP24","down","up"
"ARHGAP40","down","up"
"ARHGAP44","down","up"
"ARHGEF1","down","up"
"ARHGEF10","down","up"
"ARHGEF17","down","up"
"ARHGEF2","down","up"
"ARHGEF25","down","up"
"ARHGEF26","up","down"
"ARHGEF6","down","up"
"ARID5A","up","down"
"ARL10","down","up"
"ARL6IP1","up","down"
"ARMC10","up","down"
"ARMC6","up","down"
"ARMCX1","down","up"
"ARMCX2","down","up"
"ARMCX4","down","up"
"ARPC1A","up","down"
"ARSD","up","down"
"ARSJ","down","up"
"ASB13","up","down"
"ASB3","down","up"
"ASB9","up","down"
"ASGR2","up","down"
"ASL","up","down"
"ASPM","up","down"
"ATAD3A","up","down"
"ATF5","up","down"
"ATG4A","up","down"
"ATN1","down","up"
"ATP13A3","up","down"
"ATP13A4","down","up"
"ATP1B2","down","up"
"ATP2A3","down","up"
"ATP6V0A1","down","up"
"ATP6V0D2","down","up"
"ATP6V0E2","up","down"
"ATP6V1A","up","down"
"ATP6V1G1","up","down"
"ATP7B","up","down"
"ATP8B4","down","up"
"ATPAF1","up","down"
"AUP1","up","down"
"AURKAIP1","up","down"
"B3GAT1","up","down"
"B3GNT3","down","up"
"B3GNT7","down","up"
"B3GNT9","down","up"
"B4GALNT1","down","up"
"BAAT","up","down"
"BAIAP3","up","down"
"BARD1","down","up"
"BASP1","down","up"
"BBOX1","up","down"
"BBX","down","up"
"BCAS1","down","up"
"BCAT2","up","down"
"BCCIP","up","down"
"BCKDHA","up","down"
"BCL11A","down","up"
"BCL2","down","up"
"BCL6B","down","up"
"BDH1","up","down"
"BDKRB2","down","up"
"BDNF","down","up"
"BEGAIN","down","up"
"BEND4","up","down"
"BEND5","down","up"
"BEND6","down","up"
"BEX4","down","up"
"BHLHA15","up","down"
"BLVRA","down","up"
"BMP4","down","up"
"BMP5","down","up"
"BMT2","down","up"
"BNC2","down","up"
"BNIP3L","down","up"
"BOC","down","up"
"BOLA3","up","down"
"BOP1","up","down"
"BPHL","up","down"
"BPNT1","up","down"
"BRCC3","up","down"
"BRD2","up","down"
"BRI3","up","down"
"BRI3BP","up","down"
"BRSK1","down","up"
"BTF3","up","down"
"BTG2","down","up"
"BTG3","down","up"
"BTN2A1","down","up"
"BTN2A3P","down","up"
"C11orf1","up","down"
"C11orf21","down","up"
"C11orf24","up","down"
"C11orf45","down","up"
"C11orf71","up","down"
"C11orf98","up","down"
"C12orf66","up","down"
"C12orf75","down","up"
"C16orf70","up","down"
"C16orf74","down","up"
"C16orf87","up","down"
"C16orf89","down","up"
"C19orf44","down","up"
"C19orf48","up","down"
"C19orf73","up","down"
"C1GALT1C1","up","down"
"C1orf115","up","down"
"C1orf43","up","down"
"C1orf53","up","down"
"C1QBP","up","down"
"C1QTNF1","down","up"
"C1QTNF7","down","up"
"C2","up","down"
"C20orf194","down","up"
"C2orf69","up","down"
"C2orf72","up","down"
"C4A","up","down"
"C4B","up","down"
"C5orf15","up","down"
"C7","down","up"
"C8orf58","down","up"
"C8orf88","down","up"
"CA2","up","down"
"CACFD1","up","down"
"CACHD1","down","up"
"CACNA2D1","down","up"
"CALHM2","down","up"
"CALR","up","down"
"CAMK2B","up","down"
"CAMKK2","up","down"
"CAMSAP3","up","down"
"CANX","up","down"
"CAP2","down","up"
"CAPG","down","up"
"CAPN6","down","up"
"CARNMT1","up","down"
"CASP6","up","down"
"CAV1","down","up"
"CBLC","up","down"
"CBR4","up","down"
"CBS","up","down"
"CBWD1","up","down"
"CBX3","up","down"
"CCBE1","down","up"
"CCDC102A","down","up"
"CCDC136","down","up"
"CCDC146","down","up"
"CCDC148","down","up"
"CCDC181","down","up"
"CCDC3","down","up"
"CCDC51","up","down"
"CCDC58","up","down"
"CCDC74A","down","up"
"CCDC74B","down","up"
"CCDC8","down","up"
"CCDC80","down","up"
"CCDC85A","down","up"
"CCDC88A","down","up"
"CCL16","up","down"
"CCL21","down","up"
"CCNC","up","down"
"CCND2","down","up"
"CCNG1","up","down"
"CCSAP","down","up"
"CCT3","up","down"
"CCT4","up","down"
"CCT7","up","down"
"CCT8","up","down"
"CD109","down","up"
"CD200","down","up"
"CD207","down","up"
"CD22","down","up"
"CD248","down","up"
"CD276","up","down"
"CD302","up","down"
"CD34","down","up"
"CD69","down","up"
"CD9","down","up"
"CDC123","up","down"
"CDC42EP3","down","up"
"CDH17","down","up"
"CDH19","down","up"
"CDH3","down","up"
"CDH6","down","up"
"CDIP1","down","up"
"CDK18","down","up"
"CDK2AP2","up","down"
"CDK4","up","down"
"CDK5","up","down"
"CDKL5","down","up"
"CDKN2AIPNL","up","down"
"CEBPD","up","down"
"CELF1","up","down"
"CELF2","down","up"
"CENPN","up","down"
"CENPX","up","down"
"CEP126","down","up"
"CEP295NL","down","up"
"CEP68","down","up"
"CEP89","down","up"
"CERCAM","down","up"
"CERS2","up","down"
"CERS4","up","down"
"CERS5","down","up"
"CES4A","up","down"
"CFAP47","up","down"
"CFB","up","down"
"CFP","up","down"
"CFTR","down","up"
"CHCHD1","up","down"
"CHD1L","up","down"
"CHDH","up","down"
"CHID1","up","down"
"CHMP1B2P","down","up"
"CHN2","up","down"
"CHRDL1","down","up"
"CHRFAM7A","down","up"
"CHRNA7","down","up"
"CHST11","down","up"
"CHST15","down","up"
"CHST3","down","up"
"CHST6","down","up"
"CHST9","down","up"
"CIAO1","up","down"
"CIAPIN1","up","down"
"CIDEC","down","up"
"CISD3","up","down"
"CKMT2","down","up"
"CKS2","up","down"
"CLDN11","down","up"
"CLDN12","up","down"
"CLEC14A","down","up"
"CLIC6","down","up"
"CLIP2","down","up"
"CLIP3","down","up"
"CLIP4","down","up"
"CLMP","down","up"
"CLNS1A","up","down"
"CLPB","up","down"
"CLPX","up","down"
"CMIP","down","up"
"CMPK1","up","down"
"CNBP","up","down"
"CNDP2","up","down"
"CNGA1","up","down"
"CNN1","down","up"
"CNN2","down","up"
"CNNM3","up","down"
"CNPY2","up","down"
"CNPY4","down","up"
"CNRIP1","down","up"
"CNST","up","down"
"CNTLN","up","down"
"CNTN1","down","up"
"CNTNAP1","down","up"
"CNTNAP3B","down","up"
"CNTRL","down","up"
"COA4","up","down"
"COA7","up","down"
"COASY","up","down"
"COBL","up","down"
"COBLL1","up","down"
"COL13A1","down","up"
"COL14A1","down","up"
"COL16A1","down","up"
"COL17A1","down","up"
"COL4A1","down","up"
"COL4A2","down","up"
"COL4A3","down","up"
"COL4A4","down","up"
"COL4A5","down","up"
"COL5A1","down","up"
"COL6A1","down","up"
"COL6A2","down","up"
"COL6A3","down","up"
"COL9A1","down","up"
"COLCA2","down","up"
"COLGALT2","down","up"
"COPB2","up","down"
"COPE","up","down"
"COPG1","up","down"
"COPS5","up","down"
"COPZ1","up","down"
"COQ8A","up","down"
"CORO6","down","up"
"COX16","up","down"
"COX18","up","down"
"COX5A","up","down"
"COX6A1","up","down"
"COX7A1","down","up"
"COX7A2L","up","down"
"COX7B","up","down"
"COX7C","up","down"
"CPA3","down","up"
"CPAMD8","down","up"
"CPE","down","up"
"CPNE3","up","down"
"CPNE5","down","up"
"CPOX","up","down"
"CPSF3","up","down"
"CPT2","up","down"
"CPXM1","down","up"
"CRCP","up","down"
"CREB5","down","up"
"CREBRF","down","up"
"CRELD2","up","down"
"CRISPLD2","down","up"
"CROCC2","up","down"
"CRYAB","down","up"
"CRYL1","up","down"
"CSE1L","up","down"
"CSK","up","down"
"CSPG4","down","up"
"CTF1","down","up"
"CTNNAL1","up","down"
"CTSO","up","down"
"CTTNBP2","down","up"
"CUBN","down","up"
"CUEDC1","down","up"
"CUTA","up","down"
"CXADR","up","down"
"CXCL12","down","up"
"CXCL14","up","down"
"CXCL2","up","down"
"CXXC4","up","down"
"CXXC5","up","down"
"CYB561A3","up","down"
"CYB561D2","up","down"
"CYB5A","up","down"
"CYBA","down","up"
"CYC1","up","down"
"CYCS","up","down"
"CYFIP2","up","down"
"CYGB","down","up"
"CYP2J2","up","down"
"CYP39A1","up","down"
"CYS1","down","up"
"CYYR1","down","up"
"DAB2IP","down","up"
"DACT3","down","up"
"DAGLA","down","up"
"DANCR","up","down"
"DARS2","up","down"
"DBNDD2","down","up"
"DCAF10","up","down"
"DCAF6","up","down"
"DCAF8","up","down"
"DCBLD2","down","up"
"DCC","down","up"
"DCLRE1A","up","down"
"DCN","down","up"
"DCTPP1","up","down"
"DCUN1D1","up","down"
"DCUN1D5","up","down"
"DCXR","up","down"
"DDAH1","up","down"
"DDC","up","down"
"DDI2","up","down"
"DDOST","up","down"
"DDR2","down","up"
"DDT","up","down"
"DDX28","up","down"
"DDX49","up","down"
"DDX56","up","down"
"DECR1","up","down"
"DECR2","up","down"
"DEF6","down","up"
"DEFB1","down","up"
"DENND2A","down","up"
"DENND5A","down","up"
"DESI1","up","down"
"DGKA","down","up"
"DGKG","down","up"
"DGKH","down","up"
"DHFR","up","down"
"DHRS11","up","down"
"DHRS13","up","down"
"DHRS4-AS1","up","down"
"DHRS7","up","down"
"DHRS9","down","up"
"DHTKD1","up","down"
"DIAPH1","up","down"
"DIO1","up","down"
"DIS3L","up","down"
"DKK3","down","up"
"DLD","up","down"
"DLG4","down","up"
"DLG5","down","up"
"DLL1","down","up"
"DLL4","down","up"
"DMKN","down","up"
"DMPK","down","up"
