"Gene_symbol","PC","Hepatitis","Cirrhosis","NAFLD","NASH"
"ACKR3","down","up","up","up","up"
"ACSL4","down","up","up","up","up"
"ADGRG2","down","up","up","up","up"
"ALDH1L1","up","down","down","down","down"
"DNAJC12","up","down","down","down","down"
"FXYD2","down","up","up","up","up"
"GCNT4","down","up","up","up","up"
"IQGAP2","up","down","down","down","down"
"KLHL29","down","up","up","up","up"
"LGALS3","down","up","up","up","up"
"MTHFD1","up","down","down","down","down"
"NAAA","up","down","down","down","down"
"ZNF385B","up","down","down","down","down"
